Country Code,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,9000R,9012R,0010R,1012R
CCA,3.1.3_HYDRO.CONSUM,129806.1745,127856.965,124580.3769,121024.4685,126959.6521,115931.1844,113207.1353,100023.5953,100007.7515,107080.6912,108431.1774,106701.4438,108910.3687,117150.585,117350.2154,123847.3243,126006.4775,120292.9638,123187.5381,114864.6622,126877.8808,130626.9397,136158.6193,,,,
CCA,2.1.3_SHARE.HYDRO,2.696775081,2.624500749,2.692021404,2.945261382,3.499876491,3.367461906,3.583748636,3.374007505,3.071996123,3.362498111,3.76716814,3.708377585,3.716417899,3.818269672,3.73221143,3.776076328,3.786521449,3.230855875,3.078679232,3.346142763,3.514027006,3.258025342,3.352413971,,,,
CCA,3.1.4_BIOFUELS.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CCA,2.1.4_SHARE.BIOFUELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CCA,3.1.10_MARINE.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CCA,2.1.10_SHARE.MARINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CCA,8.1_FINAL.ENER.INTENS.RATE,,,,,,,,,,,,,,,,,,,,,,,,-2.06146671,-3.356975057,-5.062628812,-1.16251726
CCA,7.1_PRIMARY.ENER.INTENS.RATE,,,,,,,,,,,,,,,,,,,,,,,,-0.441832935,-2.463512423,-4.564104895,-1.848935434
CCA,4.1.2_REN.ELECTRICITY.OUTPUT,41200,40389,38279,41195,44754,40237,40941,36928,35997,39398,40260,39987,40482,44626,46409,46241,46101,44421,44744,42326,46376,48462,49929,,,,
CCA,4.1_SHARE.RE.IN.ELECTRICITY,21.43689644,21.44313367,21.57706053,24.45910322,28.91795144,26.29456817,28.16757025,27.1845232,27.40790936,29.92359223,29.34167086,27.95980869,27.80815519,28.86620611,28.91580528,28.57063418,27.49262009,25.71373993,25.90806182,24.63105214,25.83031174,25.8323472,25.78990594,,,,
CCA,3.1_RE.CONSUMPTION,134964.1945,133003.005,129721.3969,124620.8085,130487.9521,119552.4744,116625.4853,103444.9153,103401.1115,110436.0712,111822.5274,107828.2438,110174.1087,118550.315,118511.9654,124628.1643,127170.2375,121684.6938,126421.9281,117962.1022,129301.4108,134232.2397,138974.3,,,,
CCA,2.1_SHARE.TOTAL.RE.IN.TFEC,2.803935006,2.730132741,2.803112221,3.032782207,3.597140575,3.472649792,3.691961843,3.489415867,3.176231931,3.467862195,3.884992054,3.74753919,3.759541304,3.863890841,3.769159778,3.79988396,3.821492684,3.268235277,3.159512484,3.436374835,3.581149422,3.347946753,3.421739295,,,,
CCA,5.1.2_RE.CAPACITY,,10.691,10.691,10.697,10.778,10.778,10.775,10.775,10.927,10.729,10.726,10.994,10.994,10.938,10.9382,10.875,10.8755,10.8755,10.8755,10.8955,10.8957,10.972,11.698,,,,
CCA,5.1_RE.SHARE.IN.CAPACITY,,25.35996394,25.35996394,25.52983294,25.38389072,25.24653908,26.08832502,26.83953569,27.1458028,27.46167038,26.10113399,26.55299005,26.40820542,26.24910007,26.17846407,25.56597785,25.76918976,25.88695952,26.37603832,26.41173262,26.41208939,26.03516598,27.75984813,,,,
CCA,3.1.6_SOLAR.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CCA,2.1.6_SHARE.SOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CCA,3.1.2_MODERNBIO.CONSUM,5158.02,5146.04,5141.02,3596.34,3528.3,3621.29,3418.35,3421.32,3393.36,3355.38,3391.35,1126.8,1263.74,1399.73,1161.75,780.84,1163.76,1391.73,1492.72,498.94,680.86,1108.79,817.85,,,,
CCA,2.1.2_SHARE.MODERNBIO,0.107159924,0.105631991,0.111090817,0.087520825,0.097264084,0.105187885,0.108213207,0.115408363,0.104235808,0.105364084,0.117823914,0.039161606,0.043123405,0.045621169,0.036948348,0.023807631,0.034971236,0.037379402,0.037305771,0.014534709,0.018857191,0.027654831,0.020136601,,,,
CCA,3.1.1_TRADBIO.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741.67,2598.5,1742.67,2496.51,1989.61,,,,
CCA,2.1.1_SHARE.TRADBIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043527481,0.075697362,0.048265225,0.06226658,0.048986957,,,,
CCA,11.1_THERMAL.EFFICIENCY,48.78654182,48.83948658,49.9841833,47.93518595,44.41644452,45.78148498,46.97854031,46.87352968,44.88189788,43.1388056,40.7807563,42.88384291,42.5905582,43.51358835,44.73273984,44.71158971,41.31709934,42.0826477,44.51232898,45.88432132,46.16021583,45.89833113,45.16020829,,,,
CCA,4.1.1_TOTAL.ELECTRICITY.OUTPUT,192192,188354,177406,168424,154762,153024,145348,135842,131338,131662,137211,143016,145576,154596,160497,161848,167685,172752,172703,171840,179541,187602,193599,,,,
CCA,8.1.1_FINAL.ENERGY.CONSUMPTION,4813385.27,4871668.07,4627763.24,4109124.89,3627546.64,3442687.33,3158902.78,2964533.87,3255464.77,3184557.66,2878320.62,2877307.97,2930519.97,3068159.01,3144254.22,3279788.69,3327763.47,3723253.79,4001311.24,3432748.4,3610612,4009389.92,4061509.72,,,,
CCA,1.1_TOTAL.FINAL.ENERGY.CONSUM,4813385.27,4871668.07,4627763.24,4109124.89,3627546.64,3442687.33,3158902.78,2964533.87,3255464.77,3184557.66,2878320.62,2877307.97,2930519.97,3068159.01,3144254.22,3279788.69,3327763.47,3723253.79,4001311.24,3432748.4,3610612,4009389.92,4061509.72,,,,
CCA,5.1.1_TOTAL.CAPACITY,,42.157,42.157,41.9,42.46,42.691,41.302,40.146,40.253,39.069,41.094,41.404,41.631,41.67,41.7832,42.537,42.2035,42.0115,41.2325,41.2525,41.2527,42.143,42.14,,,,
