Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Arab World,ARB,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.061663713,0.043860803,0.045670969,0.0902301,0.193102389,0.155112529,0.058026432,0.036940316,0.01620292,0.036820934,0.027815147,0.024756445,0.023946202,0.017018201,0.023477311,0.023500502,0.011691439,0.010387697,0.081290871,0.02298353,0.014982738,0.019681974,0.015082681,0.008406003,0.010588519,0.012300416,0.01281403,0.013470887,0.02008423,0.014598392,0.01667907,0.012271642,0.012068941,0.013088586,0.014282356,0.021980502,0.031134499,0.061785833,0.242526067,0.083580971,0.106692676,0.116459086,0.151814759,0.137682926,0.109633731,0.107749919
Arab World,ARB,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.18944186,0.143043944,0.160217167,0.322577387,14.72585737,10.35539067,12.25750249,12.75565939,11.10734104,27.55996881,23.87215287,14.92474131,8.170065183,7.390676495,7.272932172,6.327461814,3.57302608,4.801237184,4.220117194,6.438447332,7.010424214,6.70839481,6.604876377,6.481704524,5.953805953,6.343742842,7.750236591,6.557064322,3.942204896,5.467179711,9.252525904,6.624899215,6.618568642,8.226367854,9.599003239,12.24144905,12.31071251,10.97509421,12.64145804,7.523460679,9.291698245,11.18489051,11.01812615,10.18986967,9.077641804,5.281174913
Arab World,ARB,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.128575727,0.10243746,0.096889129,0.104439601,0.059226066,0.066185321,0.042876162,0.062414251,0.070925373,0.048393017,0.036419509,0.036460667,0.089827905,0.064372102,0.065179244,0.025757035,0.073952966,0.071276913,0.073857266,0.072286521,0.052736246,0.086988734,0.070411632,0.054826466,0.058320775,0.080827246,0.07572396,0.072509261,0.104176537,0.050796587,0.038901721,0.037734734,0.041446429,0.051950123,0.038949344,0.03182018,0.033786786,0.029823618,0.042198212,0.050385782,0.052413289,0.059818111,0.0576825,0.072138399,0.091392996,0.103832417
Arab World,ARB,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,,,,,,,,32.81025445,26.26314666,32.40985042,38.43327241,34.69767554,23.0169839,18.25953905,15.39006961,12.29905376,8.586930054,10.2428452,9.501414292,9.520381754,,0.33134905,13.03293566,11.03243204,9.902189492,11.41801608,13.42967456,13.36682359,8.996859109,13.23049886,18.60759495,16.44376588,15.77186176,19.99533486,24.70810566,30.51136476,33.46269978,32.78864111,35.93931271,19.75480281,25.06538493,31.89182449,29.93920949,27.93780388,24.44915884,14.39825288
Arab World,ARB,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,,,,,,,,,,,,,,,,,,,,,0.75989775,0.759305409,0.620604934,0.638019063,0.688790678,0.668213257,0.545423558,0.546448732,0.545473684,0.505026578,0.467177429,0.418495438,0.407015583,0.373502747,0.352453989,0.325246151,0.30987661,0.326388071,0.291141849,0.350355368,0.340723182,0.314544536,0.30180647,0.304711602,0.306088386,0.327626092
Arab World,ARB,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,,0.000654122,0.000886193,0.00125293,0.002754579,0.007362196,0.0046722,0.004123749,0.003146946,0.002454478,0.002636103,0.004211336,0.005116267,0.002996261,0.002310546,0.002619002,0.001494606,0.000325768,0.000705656,0.000845839,0.000710841,0.001014599,0.000718813,6.27E-05,2.04E-05,0.000802735,0.00032099,9.53E-05,7.29E-05,0,5.27E-05,7.09E-05,3.27E-05,3.46E-05,0.000182942,7.10E-05,6.26E-06,0,0,0,0,0,0,0,0,3.46E-05
Arab World,ARB,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.175443809,0.155932986,0.135540255,0.142942955,0.086002268,0.090744086,0.056758456,0.08231608,0.093795765,0.064611207,0.055782417,0.053514026,0.126424655,0.093255095,0.092487191,0.040075804,0.104268243,0.09931415,0.101195748,0.100602219,0.071840897,0.111746124,0.090680388,0.069620572,0.070372735,0.098422424,0.093525494,0.086060051,0.122776277,0.061140174,0.044051002,0.052089448,0.055568485,0.068443307,0.052979471,0.042033805,0.04349892,0.03695916,0.050023445,0.056949302,0.056450088,0.087881521,0.087084519,0.11430662,0.136966645,0.164654066
Arab World,ARB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,0.177307429,0.138265654,0.114713364,0.164177629,0.931195277,0.7082223,0.258582191,0.160279722,0.083703438,0.100252317,0.138435355,0.147951426,0.124040938,0.095066107,0.120310879,0.097019669,0.057044772,0.028393686,0.185642671,0.079264183,0.051811937,0.074615089,0.058258508,0.02304427,0.020854489,0.023491896,0.024122672,0.041960328,0.07079504,0.058753797,0.056774543,0.056270725,0.05238932,0.043555037,0.047637901,0.075511977,0.089671489,0.1944484,0.788148471,0.254759927,0.341669723,0.429961409,0.431192891,0.366627093,0.272625556,0.257655298
Arab World,ARB,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,0.000781386,0.000482299,0.00064124,0.002475371,0.026386957,0.084149101,0.085557834,0.094496203,0.128432199,0.276656402,0.246598305,0.169484939,0.139941849,0.403241482,0.398754889,0.480178912,0.417277625,0.288802531,0.302420339,0.343504528,0.33021399,0.464281074,0.322010567,0.37728391,0.302230256,0.315949277,0.359164931,0.442321072,0.335448948,0.300688566,0.53834443,0.762883071,0.606901488,0.58556958,0.610679998,1.024882466,1.211352508,1.17059351,1.319326557,1.358626978,0.90031754,1.445364411,1.858063366,1.893624383,1.651925659,1.121774503
Arab World,ARB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.07122532,0.061192256,0.107593489,0.338086656,30.00098655,24.1395023,26.0566403,26.12970397,24.05929528,55.07011915,46.17986588,30.80729115,20.46958118,20.68577716,20.36128401,17.91065851,9.740504036,13.68647773,12.53327842,19.51783549,21.08109397,16.36340651,17.02722116,16.27954314,14.37488482,15.22114729,18.57436281,15.80112657,9.412246636,13.55851891,22.74619397,18.05891054,17.75994956,21.02584404,26.53897047,33.19475343,33.63655831,30.59595508,34.46706809,21.1269205,26.03510215,31.50771179,29.6411414,27.2516231,24.40590131,13.66827693
Arab World,ARB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.424757943,0.356527318,0.359374541,0.64893554,31.04732563,25.02997998,26.46221098,26.47091972,24.36837362,55.51409355,46.62331806,31.18245288,20.86510489,21.28033611,20.97514751,18.5305519,10.32058928,14.10331386,13.12324283,20.04205226,21.53567164,17.0150634,17.49888943,16.74955464,14.76836274,15.65981362,19.05149689,16.37156333,9.941339792,13.97910145,23.38541669,18.93022467,18.47484153,21.7234466,27.25045079,34.33725266,34.98108748,31.99795615,36.62456656,22.79725671,27.3335395,33.47091913,32.01748218,29.62618119,26.46741917,15.21239537
Central Europe and the Baltics,CEB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,11.04448894,6.338152486,3.755086583,3.69728724,4.587077226,1.584795911,3.780489756,3.240354603,3.658768379,3.54264812,5.566853316,6.619017185,6.160888756,7.422133127,4.653697613,-3.56777746,0.908627539,2.56833452,0.331530458,2.286820884,3.564124425,4.294613072
Central Europe and the Baltics,CEB,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,,,,,,,,,,,,,,,,,,,,,,,,5.16858E+11,5.73942E+11,6.10319E+11,6.33237E+11,6.5665E+11,6.86771E+11,6.97655E+11,7.24029E+11,7.47491E+11,7.74839E+11,8.02289E+11,8.46952E+11,9.03011E+11,9.58645E+11,1.0298E+12,1.07772E+12,1.03927E+12,1.04871E+12,1.07565E+12,1.07921E+12,1.10389E+12,1.14324E+12,1.19233E+12
Central Europe and the Baltics,CEB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,,,,,,,,,,,,,,,,,,,,,,,,2.07105E+11,2.48819E+11,3.11326E+11,3.33668E+11,3.30825E+11,3.64168E+11,3.50171E+11,3.47086E+11,3.80504E+11,4.26895E+11,5.07284E+11,6.04885E+11,7.12938E+11,8.03101E+11,1.00726E+12,1.23232E+12,1.02822E+12,1.04871E+12,1.15293E+12,1.08125E+12,1.14277E+12,1.1817E+12,1.03078E+12
Central Europe and the Baltics,CEB,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,,,,,,,,,,,25.58527919,23.77954523,21.7165207,19.55397265,21.9131448,18.0458619,19.20279256,18.1984341,18.89308538,,-6.937780724,-18.46002204,-17.09131275,-6.563922978,2.263656409,4.661020225,5.272552648,5.739209742,6.057253888,4.148348894,4.611982359,4.579396502,4.135813227,3.752165305,4.652397431,6.243626227,6.770353018,7.90282656,8.632727669,6.608037421,6.316413235,7.155270442,7.047559312,8.299720663,8.812800257,9.632741558
Central Europe and the Baltics,CEB,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,,,,,,,,,,,,,,,,,,,,-7.560498009,-19.22666966,-17.67991433,-7.095899471,1.785247153,4.254558333,4.897827085,5.374180512,5.706944475,3.822577746,4.316321743,4.29483117,3.87536232,3.496176269,4.406180997,6.004387572,6.541570046,7.674561704,8.40982949,6.382275351,6.098695914,6.946106503,6.842813027,8.101690636,8.620753093,9.449931418
Central Europe and the Baltics,CEB,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,,,,,,,,,,,1.725340886,1.999591532,2.515793575,3.143424618,3.043431388,3.405511969,3.107827837,2.379473208,3.033359259,3.897659886,3.565643632,4.355990331,4.190195793,3.690294206,3.174652236,2.494886132,2.482515477,2.569989644,2.301377901,2.354861666,2.484818146,2.45123291,2.24696298,2.049010635,1.778124714,1.623469089,1.586357932,1.344626944,1.13451137,1.270642837,1.357214371,1.301972979,1.376741959,1.326768142,1.339555374,1.588939206
Central Europe and the Baltics,CEB,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,,,,,,,,,,,13.90466918,13.87419864,13.94503321,13.89870705,13.76496113,13.7806835,13.84946993,13.84414191,14.01737505,22.70214203,22.81781784,34.32763796,30.08791629,23.54710885,19.72809749,18.68989114,18.5938987,18.20313848,17.96188904,18.28672857,17.80406291,17.75755523,17.83524073,17.98733876,17.37626419,16.81274921,16.58755335,16.17105057,15.76488208,16.77152349,16.68425986,16.51565228,16.55958683,16.65349265,16.57640705,16.54752964
Central Europe and the Baltics,CEB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,,,,,,,,,,,3.4,3.8,3.6,3.6,3.7,3.8,4,3.9,3.8,3.03400777,3.191068883,3.80177079,3.907679497,4.245349468,4.810173229,4.20284946,4.913002094,5.010086671,4.128610633,4.024381852,4.174811366,4.354731664,4.431544036,4.585809512,4.904691464,4.869332115,4.784517769,4.591900275,4.706774057,4.873592528,4.753583172,4.626170019,4.610234687,4.618782567,4.629516252,4.606610897
Central Europe and the Baltics,CEB,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.228001699,0.390472095,0.455771351,0.262214128,0.191920073,0.285020988,0.09480543,0.062726643,0.059321919,2.020299583,2.782564489,0.844166332,0.533484523,0.423645773,0.308106949,0.256084555,0.275239696,0.228740811,0.079395109,0.119918689,0.305947279,0.355742984,0.274866918,0.266184711,0.357315522,0.341929654,0.342930496,0.287106577,0.447912842,0.257128635,0.270868743,0.397168013,0.379679928,0.299046479,0.263664888,0.165820832
Central Europe and the Baltics,CEB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,38.33210547,36.42397572,35.20584546,33.43848261,35.40697564,31.9664736,32.33158773,30.67610851,33.2986973,,19.18158146,17.44755597,13.93647924,16.91703175,20.76355061,21.99913342,21.7806119,21.79890653,22.29868489,20.91152444,21.07467466,20.81166479,20.08497223,19.49831322,19.32870214,20.23220781,20.6770119,21.2550595,21.37598914,20.12539569,20.00955404,20.90308021,20.91064863,22.08855807,22.49313829,23.44981138
Central Europe and the Baltics,CEB,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,,,,,,,,,,,0.288814514,0.180168229,0.172726632,0.180164169,0.193518254,0.249395243,0.076691978,0.091332648,1.095555697,0.505594551,0.144405105,0.18155418,0.123874875,0.065255364,0.099210752,0.100100837,0.069407473,0.067914524,0.027379585,0.026048474,0.042675331,0.022468824,0.022869115,0.025586723,0.063314121,0.075667452,0.170197696,0.129434175,0.094502505,0.083056413,0.122656751,0.145390965,0.141569863,0.111574449,0.107953267,0.097609384
Central Europe and the Baltics,CEB,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,0.516816213,0.570640324,0.628497983,0.442378297,0.385438327,0.534416231,0.171497408,0.154059291,1.154877617,2.525894134,2.926969594,1.025720512,0.764875264,0.488901136,0.407317701,0.356185392,0.344647169,0.296655334,0.106774694,0.145967163,0.34862261,0.378211809,0.298499326,0.295608024,0.426607272,0.421695403,0.517265363,0.428455694,0.550642083,0.348784465,0.405249745,0.556354526,0.536995222,0.42735918,0.442190298,0.32281068
Central Europe and the Baltics,CEB,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000763293,0.00383659,0.005977628,0.004098297,0.004137171,0.011914942,0.008226736,0.008599416,0.01172425,0.013795549,0.015745431,0.016738252,0.022273703,0.023781661
Central Europe and the Baltics,CEB,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,,,,,,,,,,,24.42743629,22.54977708,21.26081225,19.53977556,21.64201451,18.1857901,18.4821178,16.8319666,19.28132225,,-3.636236381,-16.88008199,-16.15143705,-6.630077104,1.035453118,3.309242289,3.186713201,3.595768049,4.33679585,2.624795871,3.270611749,3.054109556,2.249731497,1.510974452,1.952437953,3.419458604,4.089458544,5.084008923,5.611107065,3.353872195,3.325294178,4.387427928,4.351061806,5.435065418,5.916731237,6.902281745
Central Europe and the Baltics,CEB,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,,,,,,,,,,,,,,,,,,,,,0.622717285,0.766647625,0.588601586,0.531976493,0.478409256,0.406461892,0.374725563,0.36502923,0.350309413,0.325771148,0.295660616,0.284565332,0.260450906,0.255989036,0.246216435,0.239238655,0.228782972,0.228264856,0.222898179,0.22576207,0.217717321,0.209163939,0.204746285,0.198030027,0.192047163,0.182810141
Central Europe and the Baltics,CEB,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,,,,,,,,,,,0.484108988,0.979580973,1.188303711,0.597103725,0.320987771,0.434090616,0.130874074,0.070074459,0.090955776,0.122590341,1.109742803,0.865327043,0.590887436,0.294428279,0.16457544,0.213649902,0.16310218,0.136533635,0.109386561,0.05430646,0.110425372,0.297939872,0.133989925,0.112606529,0.487038581,0.359582458,0.329448928,0.288899255,0.841903191,0.299977213,0.458275532,0.567245513,0.273667184,0.120460037,0.104001342,0.101942878
Central Europe and the Baltics,CEB,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,,,,,,,,,,,0.670174522,0.549378927,0.458093739,0.476014352,0.484962046,0.574528867,0.500018494,0.830217038,0.943552899,0.758386788,0.396345446,0.376565998,0.395908265,0.466245694,0.363049012,0.391070348,0.389346196,0.362980643,0.285162398,0.348367613,0.350800961,0.291765398,0.24988906,0.267993615,0.2453946,0.213035129,0.215223758,0.216388592,0.189750581,0.187361406,0.212917077,0.228410122,0.238736279,0.226147934,0.197512559,0.201380227
